,PUMA_GEOID,PUMA_NAME,UAC_POP,UAC_NAME,UAC_POP
749,4802511,Fort Worth City (North)--East of I-35W & West of US-377 PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
751,4802501,"Tarrant County (Northeast)--Grapevine, Southlake & Colleyville Cities PUMA",22042,"Dallas--Fort Worth--Arlington, TX",5638941
786,4802310,"Dallas (Far North), Carrollton (Southeast) Cities & Addison Town--North of I-635 PUMA",22042,"Dallas--Fort Worth--Arlington, TX",5638941
752,4802002,Denton County (Southeast)--Lewisville City PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
753,4801902,Collin County (Southwest)--Plano City (West) PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
754,4801901,"Collin County (Southwest)--Dallas (North), Plano (South) & Richardson (North) Cities PUMA",22042,"Dallas--Fort Worth--Arlington, TX",5638941
755,4802308,Dallas County (Northeast)--Garland (Northwest) & Richardson (East) Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
756,4802102,Johnson County PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
757,4802514,Tarrant County (Southwest)--Fort Worth (Southwest) & Benbrook Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
758,4802322,"Dallas County (Northwest)--Irving (North), Coppell & Carrollton (Southwest) Cities PUMA",22042,"Dallas--Fort Worth--Arlington, TX",5638941
759,4802001,Denton County (Far Southeast)--Carrollton (North) & Dallas (North) Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
760,4801903,Collin County (Southwest)--Plano City (Central) PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
761,4802303,Dallas County (East)--Mesquite City (Central & Southeast) PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
785,4802503,Tarrant County (East)--Arlington (East) & Grand Prairie (West Central) Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
787,4802309,Dallas (Far North) & Richardson (Southwest) Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
783,4802317,Dallas County (South)--DeSoto & Lancaster Cities PUMA,22042,"Dallas--Fort Worth--Arlington, TX",5638941
1229,4804702,Galveston County (Northwest)--League City & Friendswood City PUMA,40429,"Houston, TX",5528835
1211,4804607,Houston City (Northeast)--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1213,4804608,Houston City (North) & Aldine--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1214,4804603,"Houston City (South Central)--South of US-59, West of I-45 & Inside Loop I-610 PUMA",40429,"Houston, TX",5528835
1215,4804616,Houston City (Southwest)--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1216,4804904,"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA",40429,"Houston, TX",5528835
1217,4804632,Harris County (Far Northwest)--Katy City (Northeast) PUMA,40429,"Houston, TX",5528835
1233,4804626,"Harris County (North)--Houston City (North)--I-45, Between Beltway TX-8 & FM-1960 PUMA",40429,"Houston, TX",5528835
1232,4804627,Harris County (Far North)--Spring PUMA,40429,"Houston, TX",5528835
1231,4804905,Fort Bend County (West & South) PUMA,40429,"Houston, TX",5528835
1230,4804605,Harris County (Southeast)--Pasadena City (North & Central)--Inside Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1241,4804631,Harris County (Northwest)--North of US-290 & North of FM-1960 PUMA,40429,"Houston, TX",5528835
1228,4804621,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA",40429,"Houston, TX",5528835
1227,4804622,"Harris County (East)--Deer Park, La Porte (North) Cities & Channelview PUMA",40429,"Houston, TX",5528835
1226,4804623,Harris County (East)--Baytown City PUMA,40429,"Houston, TX",5528835
1225,4804614,"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA",40429,"Houston, TX",5528835
1224,4804609,Houston City (North)--South of Aldine & Inside Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1223,4804629,"Harris County (North)--North of FM-1960, West of I-45 & East of TX-249 PUMA",40429,"Houston, TX",5528835
1222,4804630,Harris County (Far North)--Tomball City & The Woodlands (Southwest) PUMA,40429,"Houston, TX",5528835
1212,4804601,Houston City (North Central)--North of I-10 & Inside Loop I-610 PUMA,40429,"Houston, TX",5528835
1210,4804502,Houston-Galveston Area Council--Montgomery County (West)--Conroe City (West) PUMA,40429,"Houston, TX",5528835
1220,4804615,Houston (Southwest) & Bellaire (Southeast) Cities--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1209,4804802,Houston-Galveston Area Council--Brazoria County (Central)--Alvin City PUMA,40429,"Houston, TX",5528835
1192,4804501,Houston-Galveston Area Council--Montgomery County (Northeast)--Conroe City (East) PUMA,40429,"Houston, TX",5528835
1193,4804504,Houston-Galveston Area Council--Montgomery County (Southeast) PUMA,40429,"Houston, TX",5528835
1194,4804625,"Harris County (North)--Houston (North), Humble Cities & Atascocita PUMA",40429,"Houston, TX",5528835
1195,4804602,Houston City (East Central)--East of I-45 & Inside Loop I-610 PUMA,40429,"Houston, TX",5528835
1196,4804618,Houston City (Southeast)--West of Pasadena City & Outside Loop I-610 PUMA,40429,"Houston, TX",5528835
1197,4804619,Houston (Southeast) & South Houston Cities--Inside Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1198,4804901,Fort Bend County (East)--Missouri City PUMA,40429,"Houston, TX",5528835
1199,4804902,Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA,40429,"Houston, TX",5528835
1200,4804903,"Fort Bend County (Central)--Rosenberg City, Pecan Grove & New Territory PUMA",40429,"Houston, TX",5528835
1201,4804400,Houston-Galveston Area Council--Liberty & Chambers Counties PUMA,40429,"Houston, TX",5528835
1202,4804701,"Galveston County (Central, South & East)--Galveston, Texas City & La Marque Cities PUMA",40429,"Houston, TX",5528835
1203,4805000,Houston-Galveston Area Council (West) PUMA,40429,"Houston, TX",5528835
1204,4804624,Harris County (Northeast)--Houston City (Far Northeast) PUMA,40429,"Houston, TX",5528835
1205,4804606,"Houston (East), Galena Park, Jacinto Cities & Cloverleaf PUMA",40429,"Houston, TX",5528835
1206,4804620,Houston (Southeast) & Webster Cities PUMA,40429,"Houston, TX",5528835
1207,4804801,Houston-Galveston Area Council--Brazoria County (North)--Pearland City PUMA,40429,"Houston, TX",5528835
1208,4804617,Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1221,4804634,Harris County (West)--Houston City (West)--North of US-90 & West of TX-6 PUMA,40429,"Houston, TX",5528835
1243,4804613,Houston (West) & Hunters Creek Village Cities--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1219,4804610,Houston City (North)--West of Aldine & Inside Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1238,4804633,Harris County (Northwest)--South of US-290 & West of TX-6 PUMA,40429,"Houston, TX",5528835
1234,4804604,Houston City (West Central)--South of I-10 & Inside Loop I-610 PUMA,40429,"Houston, TX",5528835
1235,4804638,Houston City (Southwest)--East of TX-6 & West of Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1218,4804637,"Houston City (West)--Westpark Tollway, West of Beltway TX-8 PUMA",40429,"Houston, TX",5528835
1237,4804636,Houston City (West)--East of TX-6 & West of Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1236,4804635,Houston City (West)--South of I-10 & West of TX-6 PUMA,40429,"Houston, TX",5528835
1239,4804628,Harris County (Northwest)--Jersey Village City--Between Beltway TX-8 & FM-1960 PUMA,40429,"Houston, TX",5528835
1242,4804611,Houston City (Northwest)--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
1240,4804612,Houston (West) & Spring Valley Village Cities--Between Loop I-610 & Beltway TX-8 PUMA,40429,"Houston, TX",5528835
2347,3402001,Burlington County (North)--Burlington City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2382,4203301,Delaware County (North)--Broomall & Ardmore (West) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2352,3402101,Camden County (North)--Camden & Gloucester Cities PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2351,3402201,Gloucester County (Northeast)--Woodbury City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2336,1000103,New Castle County (West Central)--Newark City & Brookside PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2350,3402202,Gloucester County (South & West)--Glassboro Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2349,3402500,Salem & Cumberland (North) Counties--Bridgeton City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2346,3402003,Burlington County (South & East) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2337,1000102,New Castle County (North)--Hockessin PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2345,3402103,Camden County (South & West)--Bellmawr & Pine Hill Boroughs PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2344,3402002,Burlington County (West Central) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2343,3402104,Camden County (East Central)--Haddonfield Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2342,3402102,Camden County (Central)--Lindenwold & Collingswood Boroughs PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2341,3400102,Atlantic County (Outside Somers Point City)--Pleasantville City & Hammonton Town PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2340,2400700,Cecil County PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2339,1000101,New Castle County (East Central)--Wilmington City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2338,1000104,"New Castle County (South)--Middletown Town, Bear & Glasgow PUMA",69076,"Philadelphia, PA--NJ--DE--MD",5527247
2381,4203302,"Delaware County (East)--Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA",69076,"Philadelphia, PA--NJ--DE--MD",5527247
2380,4203103,Montgomery County (Southwest)--King of Prussia & Ardmore (East) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2379,4203206,Philadelphia City (Northwest) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2365,4203211,Philadelphia City (Southeast) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2363,4203205,Philadelphia City (East) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2362,4203203,Philadelphia City (Near Northeast-East) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2361,4203201,Philadelphia City (Far Northeast) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2360,4203004,Bucks County (Southwest) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2359,4203003,Bucks County (Southeast)--Levittown PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2358,4203002,Bucks County (Central) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2357,4203001,Bucks County (North) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2356,4203403,Chester County (West Central)--Coatesville City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2355,4203208,Philadelphia City (West) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2354,4203402,Chester County (East Central)--West Chester Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2353,4203207,Philadelphia City (Central) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2378,4203204,Philadelphia City (North) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2364,4203209,Philadelphia City (Center City) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2366,4203210,Philadelphia City (Southwest) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2367,4203303,Delaware County (Southeast)--Chester City PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2368,4203304,Delaware County (West) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2369,4203404,Chester County (South) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2370,4203503,Lancaster County (East)--Ephrata Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2371,4203101,Montgomery County (Northwest)--Pottstown Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2372,4203104,Montgomery County (Central)--Norristown Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2373,4203102,Montgomery County (Northeast)--Lansdale Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2374,4203105,"Montgomery County (Southeast)--Willow Grove, Horsham & Montgomeryville PUMA",69076,"Philadelphia, PA--NJ--DE--MD",5527247
2375,4203401,Chester County (North)--Phoenixville Borough PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2376,4203106,Montgomery County (South Central) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
2377,4203202,Philadelphia City (Near Northeast-West) PUMA,69076,"Philadelphia, PA--NJ--DE--MD",5527247
3342,5151244,Prince William County (North & West)--Linton Hall & Gainesville PUMA,92242,"Washington, DC--VA--MD",4967211
3341,5151087,Rappahannock-Rapidan Regional Commission PUMA,92242,"Washington, DC--VA--MD",4967211
3340,2401006,"Montgomery County (East)--Fairland, Calverton, White Oak & Burtonsville PUMA",92242,"Washington, DC--VA--MD",4967211
3366,5151245,"Manassas, Manassas Park Cities & Prince William County (Central)--Buckhall & Sudley PUMA",92242,"Washington, DC--VA--MD",4967211
3339,2401102,"Prince George's County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville PUMA",92242,"Washington, DC--VA--MD",4967211
3328,2401104,"Prince George's County (Central)--Seat Pleasant City, Capitol Heights Town & Landover PUMA",92242,"Washington, DC--VA--MD",4967211
3319,1100101,District of Columbia (West) PUMA,92242,"Washington, DC--VA--MD",4967211
3320,1100102,District of Columbia (North) PUMA,92242,"Washington, DC--VA--MD",4967211
3321,1100103,District of Columbia (Northeast) PUMA,92242,"Washington, DC--VA--MD",4967211
3322,1100104,District of Columbia (East) PUMA,92242,"Washington, DC--VA--MD",4967211
3323,1100105,District of Columbia (Central) PUMA,92242,"Washington, DC--VA--MD",4967211
3324,2400301,Frederick County (Outside Greater Frederick City) PUMA,92242,"Washington, DC--VA--MD",4967211
3325,2400400,Carroll County PUMA,92242,"Washington, DC--VA--MD",4967211
3326,2401106,"Prince George's County (South)--Clinton, Fort Washington (South), Rosaryville & Croom PUMA",92242,"Washington, DC--VA--MD",4967211
3327,2401107,"Prince George's County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills PUMA",92242,"Washington, DC--VA--MD",4967211
3329,2401103,Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA,92242,"Washington, DC--VA--MD",4967211
3338,2401105,"Prince George's County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA",92242,"Washington, DC--VA--MD",4967211
3344,5159305,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA",92242,"Washington, DC--VA--MD",4967211
3330,2401101,Prince George's County (Northwest)--College Park City & Langley Park PUMA,92242,"Washington, DC--VA--MD",4967211
3331,2401007,Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA,92242,"Washington, DC--VA--MD",4967211
3332,2401004,"Montgomery County (South)--Bethesda, Potomac & North Bethesda PUMA",92242,"Washington, DC--VA--MD",4967211
3333,2401001,"Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown PUMA",92242,"Washington, DC--VA--MD",4967211
3334,2401005,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA",92242,"Washington, DC--VA--MD",4967211
3335,2401003,"Montgomery County (Central)--Rockville, Gaithersburg Cities & North Potomac PUMA",92242,"Washington, DC--VA--MD",4967211
3336,2401204,"Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater PUMA",92242,"Washington, DC--VA--MD",4967211
3337,2401002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,92242,"Washington, DC--VA--MD",4967211
3343,5159307,Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA,92242,"Washington, DC--VA--MD",4967211
3367,5159309,Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA,92242,"Washington, DC--VA--MD",4967211
3360,5151115,George Washington Regional Commission (North) PUMA,92242,"Washington, DC--VA--MD",4967211
3358,5159304,Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA,92242,"Washington, DC--VA--MD",4967211
3385,5159306,"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia PUMA",92242,"Washington, DC--VA--MD",4967211
3388,5159301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA",92242,"Washington, DC--VA--MD",4967211
3389,5159303,Fairfax County (Central) & Fairfax City--Burke PUMA,92242,"Washington, DC--VA--MD",4967211
3390,5110703,Loudoun County (West & South)--Leesburg Town PUMA,92242,"Washington, DC--VA--MD",4967211
3391,5110702,Loudoun County (East Central)--Ashburn (Southwest/Belmont Ridge) & Dulles Airport PUMA,92242,"Washington, DC--VA--MD",4967211
3392,5110701,Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA,92242,"Washington, DC--VA--MD",4967211
3393,5159308,Fairfax County (Northeast)--McLean & Idylwood PUMA,92242,"Washington, DC--VA--MD",4967211
3359,5151246,"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA",92242,"Washington, DC--VA--MD",4967211
3397,5159302,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA",92242,"Washington, DC--VA--MD",4967211
3396,5151255,Alexandria City PUMA,92242,"Washington, DC--VA--MD",4967211
3395,5101302,Arlington County (South) PUMA,92242,"Washington, DC--VA--MD",4967211
3394,5101301,Arlington County (North) PUMA,92242,"Washington, DC--VA--MD",4967211
135,1303102,Atlanta Regional Commission--Cherokee County (Outside Woodstock & Canton Cities) PUMA,03817,"Atlanta, GA",4912204
142,1305002,Atlanta Regional Commission (South Central)--Clayton County (North)--Forest Park City PUMA,03817,"Atlanta, GA",4912204
136,1303300,Georgia Mountains Regional Commission (Southwest)--Forsyth County PUMA,03817,"Atlanta, GA",4912204
137,1303900,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA",03817,"Atlanta, GA",4912204
139,1301003,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (South) PUMA,03817,"Atlanta, GA",4912204
140,1303101,Atlanta Regional Commission--Cherokee County (Central)--Woodstock & Canton Cities PUMA,03817,"Atlanta, GA",4912204
141,1305001,Atlanta Regional Commission (South Central)--Clayton County (South) PUMA,03817,"Atlanta, GA",4912204
147,1306001,Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA,03817,"Atlanta, GA",4912204
143,1303004,Atlanta Regional Commission (Northwest)--Cobb County (Southeast)--Smyrna City PUMA,03817,"Atlanta, GA",4912204
144,1303003,Atlanta Regional Commission (Northwest)--Cobb County (Southwest)--Powder Springs City PUMA,03817,"Atlanta, GA",4912204
145,1303002,Atlanta Regional Commission--Cobb County (Northwest)--Kennesaw & Acworth Cities PUMA,03817,"Atlanta, GA",4912204
146,1304300,Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA,03817,"Atlanta, GA",4912204
148,1304600,Atlanta Regional Commission--Fulton County (Central)--Atlanta City (Central) PUMA,03817,"Atlanta, GA",4912204
133,1302400,Atlanta Regional Commission (South Central)--Fayette County PUMA,03817,"Atlanta, GA",4912204
134,1304400,Atlanta Regional Commission (Southwest)--Douglas County PUMA,03817,"Atlanta, GA",4912204
138,1303200,Georgia Mountains Regional Commission (North & Northwest) PUMA,03817,"Atlanta, GA",4912204
132,1301900,Three Rivers Regional Commission (East) PUMA,03817,"Atlanta, GA",4912204
119,1306002,Atlanta Regional Commission (Southeast)--Henry County (North)--Stockbridge City PUMA,03817,"Atlanta, GA",4912204
110,1302900,Northwest Georgia Regional Commission (East Central)--Bartow County PUMA,03817,"Atlanta, GA",4912204
109,1304500,Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA,03817,"Atlanta, GA",4912204
131,1301001,Atlanta Regional Commission (Central)--Fulton County (North)--Sandy Springs City PUMA,03817,"Atlanta, GA",4912204
111,1303400,Georgia Mountains Regional Commission (South Central)--Hall County PUMA,03817,"Atlanta, GA",4912204
107,1302100,Three Rivers Regional Commission (North Central)--Coweta County PUMA,03817,"Atlanta, GA",4912204
112,1303800,Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA,03817,"Atlanta, GA",4912204
113,1304001,Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA,03817,"Atlanta, GA",4912204
114,1304006,Atlanta Regional Commission (Northeast)--Gwinnett County (Southwest)--Lilburn City PUMA,03817,"Atlanta, GA",4912204
115,1302003,Atlanta Regional Commission (Central)--DeKalb County (Northeast)--Tucker PUMA,03817,"Atlanta, GA",4912204
116,1302004,Atlanta Regional Commission--DeKalb County (North)--Dunwoody City PUMA,03817,"Atlanta, GA",4912204
117,1301005,Atlanta Regional Commission (Central)--Fulton County (Northwest)--Roswell City PUMA,03817,"Atlanta, GA",4912204
118,1304004,Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA,03817,"Atlanta, GA",4912204
108,1301004,Atlanta Regional Commission (Central)--Fulton County (South)--Union & Fairburn Cities PUMA,03817,"Atlanta, GA",4912204
120,1303005,Atlanta Regional Commission (Northwest)--Cobb County (Northeast) PUMA,03817,"Atlanta, GA",4912204
122,1304003,Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA,03817,"Atlanta, GA",4912204
123,1301008,Atlanta Regional Commission (Central)--DeKalb County (South) PUMA,03817,"Atlanta, GA",4912204
124,1301007,Atlanta Regional Commission (Central)--Fulton County (East)--Atlanta City (Southeast) PUMA,03817,"Atlanta, GA",4912204
125,1303001,Atlanta Regional Commission (Northwest)--Cobb County (Central)--Marietta City PUMA,03817,"Atlanta, GA",4912204
126,1304005,Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA,03817,"Atlanta, GA",4912204
127,1301006,Atlanta Regional Commission (Central)--Fulton County (Central)--Atlanta City (North) PUMA,03817,"Atlanta, GA",4912204
106,1302300,Three Rivers Regional Commission (Northwest)--Carroll County PUMA,03817,"Atlanta, GA",4912204
128,1301002,Atlanta Regional Commission (Central)--Fulton County (Northeast)--Johns Creek City PUMA,03817,"Atlanta, GA",4912204
130,1302002,Atlanta Regional Commission--DeKalb County--Decatur & Avondale Estates Cities PUMA,03817,"Atlanta, GA",4912204
129,1302001,Atlanta Regional Commission (Central)--DeKalb County (East Central)--Redan PUMA,03817,"Atlanta, GA",4912204
121,1304002,Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA,03817,"Atlanta, GA",4912204
365,2501400,Middlesex (West Central) & Worcester (East) Counties PUMA,09271,"Boston, MA--NH--RI",4384450
363,2503900,"Weymouth Town, Braintree Town Cities, Hingham, Hull & Cohasset Towns PUMA",09271,"Boston, MA--NH--RI",4384450
364,2504303,"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA",09271,"Boston, MA--NH--RI",4384450
368,2504902,Plymouth County (Central) PUMA,09271,"Boston, MA--NH--RI",4384450
366,2502800,"Woburn, Melrose Cities, Saugus, Wakefield & Stoneham Towns PUMA",09271,"Boston, MA--NH--RI",4384450
367,2500507,Middlesex County (East)--Somerville & Everett Cities PUMA,09271,"Boston, MA--NH--RI",4384450
369,2502400,"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA",09271,"Boston, MA--NH--RI",4384450
370,2500303,Worcester County (East Central) PUMA,09271,"Boston, MA--NH--RI",4384450
362,2503603,Norfolk County (Northeast)--Quincy City & Milton Town PUMA,09271,"Boston, MA--NH--RI",4384450
358,2501300,"Billerica, Andover, Tewksbury & Wilmington Towns PUMA",09271,"Boston, MA--NH--RI",4384450
361,2503302,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA",09271,"Boston, MA--NH--RI",4384450
360,2503306,"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA",09271,"Boston, MA--NH--RI",4384450
359,2500704,"Essex County (South)--Lynn City, Swampscott & Nahant Towns PUMA",09271,"Boston, MA--NH--RI",4384450
356,2500304,Worcester County (South) PUMA,09271,"Boston, MA--NH--RI",4384450
355,2503601,Norfolk County (Southwest)--Greater Franklin Town City PUMA,09271,"Boston, MA--NH--RI",4384450
354,2504200,"Attleboro City, North Attleborough, Swansea, Seekonk, Rehoboth & Plainville Towns PUMA",09271,"Boston, MA--NH--RI",4384450
353,2504301,Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA,09271,"Boston, MA--NH--RI",4384450
352,2504903,"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA",09271,"Boston, MA--NH--RI",4384450
372,2500508,Middlesex County (East)--Malden & Medford Cities PUMA,09271,"Boston, MA--NH--RI",4384450
351,2503303,Boston City--Dorchester & South Boston PUMA,09271,"Boston, MA--NH--RI",4384450
350,2500703,"Essex County (East)--Salem, Beverly, Gloucester & Newburyport Cities PUMA",09271,"Boston, MA--NH--RI",4384450
371,2501000,"Peabody City, Danvers, Reading, North Reading & Lynnfield Towns PUMA",09271,"Boston, MA--NH--RI",4384450
383,2503400,Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA,09271,"Boston, MA--NH--RI",4384450
373,2500506,Middlesex County (East)--Cambridge City PUMA,09271,"Boston, MA--NH--RI",4384450
374,2503304,Boston City--Mattapan & Roxbury PUMA,09271,"Boston, MA--NH--RI",4384450
349,2500702,Essex County (Central)--Amesbury Town City PUMA,09271,"Boston, MA--NH--RI",4384450
399,4400102,Northeast Rhode Island--Providence County--Pawtucket & Central Falls Cities PUMA,09271,"Boston, MA--NH--RI",4384450
398,3300700,Outer Manchester City PUMA,09271,"Boston, MA--NH--RI",4384450
397,3300900,Hillsborough County (Southeastern)--Greater Nashua City PUMA,09271,"Boston, MA--NH--RI",4384450
396,3301000,Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA,09271,"Boston, MA--NH--RI",4384450
387,2500701,"Essex County (Northwest)--Lawrence, Haverhill & Methuen Town Cities PUMA",09271,"Boston, MA--NH--RI",4384450
386,2500501,Middlesex County (Outside Lowell City) PUMA,09271,"Boston, MA--NH--RI",4384450
385,2500400,"Worcester & Middlesex Counties (Outside Leominster, Fitchburg & Gardner Cities) PUMA",09271,"Boston, MA--NH--RI",4384450
384,2500504,"Middlesex County (South)--Framingham Town, Marlborough City & Natick Town PUMA",09271,"Boston, MA--NH--RI",4384450
382,2500505,"Middlesex County--Watertown Town City, Arlington, Belmont & Winchester Towns PUMA",09271,"Boston, MA--NH--RI",4384450
381,2500503,"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA",09271,"Boston, MA--NH--RI",4384450
380,2503500,Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA,09271,"Boston, MA--NH--RI",4384450
379,2504000,"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA",09271,"Boston, MA--NH--RI",4384450
378,2503602,"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA",09271,"Boston, MA--NH--RI",4384450
377,2503305,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA",09271,"Boston, MA--NH--RI",4384450
